gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,predicted,actual
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,1,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,0,1
1,0,1,0,42,1,2,1,0,0,2,2,2,2,1,1,2,108.3,4586.15,1,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,0,1
1,0,0,0,15,1,2,0,0,0,0,0,0,0,0,1,2,49.0,749.25,1,0
0,0,0,0,15,1,2,0,2,0,0,0,0,0,0,1,3,55.7,899.8,0,1
0,0,1,1,14,1,0,1,0,0,0,0,0,0,0,0,2,70.2,1046.5,1,0
0,1,0,0,37,1,2,1,2,2,0,0,2,2,0,1,0,106.75,4056.75,0,1
1,1,1,0,25,1,2,1,2,0,0,0,0,2,1,1,2,89.05,2177.45,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.45,55.45,1,0
0,1,0,0,3,1,0,1,0,0,2,0,0,0,0,0,2,73.85,196.4,1,0
0,0,1,1,31,1,2,1,0,2,0,0,0,2,0,1,2,91.15,2995.45,0,1
1,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,94.85,335.75,1,0
1,1,0,0,17,1,0,0,0,0,0,0,0,0,0,1,2,45.05,770.6,0,1
0,1,0,0,41,1,2,1,2,2,2,0,2,2,0,1,2,113.2,4689.5,0,1
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,0,1
1,0,1,1,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.4,19.4,0,1
1,0,0,0,3,1,0,1,2,0,0,0,0,2,0,1,3,86.05,244.85,1,0
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,164.3,0,1
0,0,1,0,32,1,0,1,0,2,0,0,0,2,0,0,0,84.15,2585.95,0,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,0,1
0,0,1,1,28,1,0,1,0,0,0,0,2,2,1,1,0,90.1,2598.95,0,1
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,0,1
0,0,0,0,7,1,0,1,0,0,2,0,0,0,0,1,2,75.15,525.0,1,0
1,1,0,0,46,1,0,1,2,0,0,0,0,2,0,0,2,85.0,3969.4,0,1
0,0,0,0,7,1,0,0,0,0,0,2,2,0,0,1,3,59.5,415.95,0,1
1,0,1,0,55,0,1,0,0,0,2,2,2,2,0,1,0,54.55,2978.3,0,1
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85,0,1
0,1,1,0,65,1,2,1,0,2,2,0,2,2,1,1,2,106.25,6979.8,0,1
0,1,1,0,17,1,2,1,2,0,2,0,0,0,0,1,0,85.35,1463.45,0,1
0,0,1,1,67,1,2,1,2,0,2,2,2,2,2,1,1,108.75,7156.2,0,1
1,0,0,0,32,1,2,1,2,2,0,2,2,2,0,1,1,108.15,3432.9,0,1
0,0,1,0,54,1,2,0,0,0,0,0,2,2,1,1,1,70.15,3715.65,0,1
1,0,0,0,11,0,1,0,0,0,2,0,2,0,1,1,2,41.6,470.6,0,1
1,0,0,0,17,1,0,1,0,0,2,0,0,0,0,1,2,76.65,1313.55,0,1
1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,3,48.75,48.75,1,0
0,0,1,1,41,1,0,0,0,2,0,2,0,2,1,1,0,66.5,2728.6,0,1
0,1,0,0,3,1,0,1,0,0,2,0,0,0,0,0,3,75.05,202.9,1,0
0,0,1,0,8,1,2,1,0,0,0,2,0,2,0,1,2,90.25,743.75,1,0
0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,2,75.6,402.5,1,0
1,0,1,1,7,0,1,0,2,0,0,2,0,0,0,1,2,34.5,279.25,0,1
0,0,0,0,57,1,2,1,2,2,2,0,2,2,2,1,0,112.95,6465.0,0,1
0,1,0,0,8,1,2,1,0,0,0,0,0,2,0,0,2,85.2,695.75,1,0
1,0,1,1,5,1,2,1,2,0,2,0,0,0,0,1,2,84.5,453.75,0,1
0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,3,73.85,401.3,1,0
1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,89.85,244.45,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,20.2,20.2,0,1
0,0,1,1,6,1,0,0,2,2,0,0,0,0,0,0,1,55.9,365.35,0,1
0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,49.95,49.95,0,1
0,0,1,0,13,0,1,0,0,0,2,0,2,2,0,1,0,48.75,633.4,0,1
1,1,0,0,21,1,2,1,0,2,2,0,2,2,0,1,2,104.35,2271.85,1,0
0,0,1,1,61,1,2,1,0,2,0,0,2,2,0,1,2,99.15,6010.05,0,1
0,0,1,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.85,1594.75,1,0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,24.2,24.2,1,0
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,3,19.6,59.75,0,1
1,0,0,0,3,1,0,1,0,0,2,0,0,2,0,0,1,85.7,256.75,1,0
0,1,0,0,9,1,2,1,0,0,2,0,2,0,0,1,2,90.1,816.8,1,0
1,0,1,1,20,1,0,1,0,0,0,0,2,2,0,1,2,90.2,1776.55,0,1
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,0,75.1,552.95,0,1
0,0,1,0,6,1,2,1,0,2,0,0,0,2,0,1,2,90.75,512.25,1,0
1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,2,70.5,294.2,1,0
1,1,0,0,47,1,2,1,0,0,0,0,2,0,0,1,1,86.05,3865.6,1,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,1,0
0,0,1,1,25,1,0,1,0,2,2,0,2,0,0,1,0,89.15,2257.75,0,1
0,0,1,0,3,1,2,1,0,0,0,0,2,2,0,0,2,94.9,273.2,1,0
0,0,0,0,50,1,2,1,0,0,0,0,2,2,0,1,2,95.7,4729.75,1,0
0,0,1,1,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,0,1
1,1,1,0,46,0,1,0,0,2,2,2,2,2,1,1,0,59.9,2816.65,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.85,45.85,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.3,19.3,0,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.35,139.25,1,0
0,0,1,0,47,1,2,1,2,2,2,0,2,0,0,1,2,98.75,4533.7,0,1
1,1,1,0,57,1,2,1,0,2,2,0,0,2,0,1,0,95.25,5427.05,0,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.35,70.35,1,0
1,0,1,0,31,1,2,1,0,2,2,0,2,0,0,0,2,93.8,3019.5,0,1
1,0,0,0,62,1,2,1,2,2,0,2,0,2,1,0,2,102.0,6529.25,0,1
0,0,0,0,4,1,0,1,0,2,2,2,2,2,1,1,2,105.65,443.9,0,1
0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,3,48.75,179.85,1,0
1,0,0,0,39,0,1,0,2,2,0,2,2,0,0,1,1,48.95,1880.85,0,1
0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6,2656.5,0,1
1,1,1,0,44,1,2,1,0,2,0,0,0,2,1,0,3,88.4,3912.9,0,1
1,1,1,0,24,0,1,0,2,0,0,0,0,2,0,0,0,39.1,971.3,0,1
0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,0,20.95,85.5,0,1
0,0,1,0,54,1,2,1,2,2,0,0,2,2,1,0,0,106.55,5763.3,0,1
1,0,1,0,32,1,2,1,0,0,2,0,0,0,0,1,2,78.9,2447.95,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,18.85,18.85,0,1
0,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,3,81.5,162.55,1,0
0,1,0,0,2,1,2,0,0,2,0,0,0,0,0,1,1,56.55,118.25,1,0
0,0,0,0,3,1,2,0,0,0,0,2,2,0,0,0,2,64.6,174.2,1,0
1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,1,3,18.95,185.6,0,1
1,1,1,0,53,1,2,1,0,2,2,0,2,2,0,1,2,103.85,5485.5,0,1
0,0,0,0,39,1,0,1,0,0,2,2,0,0,2,1,2,80.45,3201.55,0,1
0,0,0,0,9,1,0,1,0,0,0,0,2,2,0,1,3,88.4,788.6,1,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,0,1
0,0,1,0,21,1,2,1,0,0,0,0,0,2,0,1,2,86.5,1808.7,0,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.4,20.4,0,1
1,0,0,0,24,1,0,1,0,0,0,0,2,2,0,1,2,90.35,2238.5,0,1
1,0,1,0,17,1,2,1,0,2,2,0,2,2,0,1,2,102.55,1742.5,1,0
1,1,0,0,14,1,0,1,0,0,0,0,2,2,0,0,1,90.45,1266.1,0,1
0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,2,69.95,330.15,0,1
0,0,0,0,35,1,2,0,2,0,2,2,2,2,1,1,1,85.95,3110.1,0,1
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95,1,0
1,0,1,0,17,1,0,1,0,0,0,0,0,0,0,1,0,70.4,1214.05,0,1
1,0,0,1,40,1,0,0,2,2,0,0,0,0,0,1,3,55.25,2139.2,0,1
0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,94.0,1505.45,1,0
1,1,0,0,22,1,2,1,0,0,0,2,2,0,0,1,0,90.5,1910.6,0,1
0,0,0,0,16,1,2,1,0,0,0,0,0,0,0,1,1,74.75,1129.35,1,0
1,0,0,0,40,1,2,1,0,2,2,0,2,2,0,1,3,102.65,4108.15,1,0
0,0,1,1,35,1,2,0,2,0,2,2,2,0,0,0,2,72.25,2568.55,0,1
0,1,0,1,33,1,2,1,0,2,2,0,2,2,0,1,0,105.35,3465.05,1,0
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,75.3,0,1
1,0,0,0,6,0,1,0,0,2,0,0,0,0,0,1,1,30.5,208.7,0,1
1,1,0,0,27,1,2,1,0,2,0,0,0,0,0,1,2,81.45,2122.05,0,1
1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,79.95,174.45,1,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,2007.25,1,0
1,1,1,0,16,1,2,1,0,0,0,0,2,0,0,1,1,85.05,1391.15,1,0
1,1,1,1,66,1,2,1,0,0,2,0,2,2,0,1,1,99.5,6822.15,0,1
0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,54.9,54.9,0,1
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,3,50.15,50.15,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.4,45.4,0,1
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,0,1
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,1,0
1,0,1,0,61,1,2,1,0,2,0,2,2,0,2,1,2,94.1,5638.3,0,1
0,0,1,1,37,1,2,1,0,0,0,0,2,2,0,1,2,95.25,3314.15,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,24.4,24.4,1,0
1,0,1,1,18,1,0,1,2,0,2,0,2,0,0,1,3,87.9,1500.5,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,44.15,44.15,0,1
1,0,0,0,31,1,2,1,0,2,0,0,0,0,0,1,2,81.15,2640.55,1,0
0,1,1,0,50,1,0,1,0,0,0,0,0,0,0,1,2,71.05,3444.85,0,1
1,0,1,1,65,1,0,0,2,0,0,2,2,2,2,1,0,74.8,4820.15,0,1
1,0,0,0,68,1,2,1,0,2,2,2,2,2,1,0,2,108.45,7176.55,0,1
0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,1,3,69.25,418.4,0,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.35,20.35,1,0
0,1,1,0,61,1,2,1,0,2,2,0,2,2,1,1,1,104.4,6405.0,0,1
1,0,0,0,26,1,2,1,2,2,0,0,2,0,0,1,1,92.4,2349.8,1,0
1,1,1,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.0,605.45,1,0
1,0,0,0,10,1,0,1,2,2,2,2,2,2,0,1,2,110.1,1043.3,0,1
1,0,1,1,61,1,2,1,2,2,0,0,2,2,1,1,2,106.0,6547.7,0,1
0,0,0,0,7,1,0,1,0,2,0,0,2,2,1,1,3,94.05,633.45,1,0
1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,3,49.9,49.9,0,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,1,0
0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,35.2,108.95,0,1
0,0,0,0,16,0,1,0,2,0,0,0,2,0,0,1,2,38.9,664.4,1,0
1,0,0,0,45,1,0,2,1,1,1,1,1,1,1,1,2,20.4,930.45,0,1
0,0,1,0,38,1,2,1,0,0,2,2,2,2,0,1,2,105.0,4026.4,0,1
1,0,1,1,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,0,1
1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,1184.0,1,0
1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,5084.65,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,20.55,20.55,0,1
1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,90.85,3186.7,0,1
0,1,1,0,50,1,2,1,0,2,2,0,2,0,0,1,2,95.05,4888.7,0,1
0,0,0,0,63,1,2,1,0,2,0,0,2,2,1,0,0,99.9,6137.0,0,1
0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,25.25,58.9,0,1
1,0,0,0,16,1,2,1,0,0,0,2,0,2,0,1,1,89.05,1448.6,0,1
0,0,0,1,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,994.8,0,1
1,0,0,0,1,1,2,0,0,0,2,2,0,0,0,0,3,62.05,62.05,0,1
1,0,1,1,67,1,2,1,2,2,2,0,2,2,1,1,2,111.3,7482.1,0,1
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145.0,0,1
0,0,0,0,34,1,2,1,2,2,2,0,2,2,0,1,3,109.8,3587.25,0,1
1,0,1,0,60,1,0,1,0,2,0,0,2,2,1,1,2,94.4,5610.25,0,1
1,0,1,0,18,1,0,0,0,0,2,0,0,0,0,1,3,49.55,878.35,0,1
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,0,1
1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,1,19.3,28.3,0,1
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,0,1
1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35,0,1
1,1,0,0,11,1,0,1,0,0,0,0,0,2,0,1,2,78.5,874.2,1,0
1,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,69.35,261.65,1,0
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,0,1
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,3,74.9,136.05,1,0
0,0,1,1,3,0,1,0,0,0,0,2,0,0,0,1,3,31.0,95.05,0,1
1,1,1,0,34,1,2,1,0,0,0,0,0,0,0,1,2,75.55,2425.4,1,0
0,1,1,0,35,1,2,1,2,2,0,2,2,0,0,1,0,100.5,3653.35,0,1
1,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,50.25,593.75,0,1
0,0,0,0,31,1,2,0,2,0,2,2,0,0,0,0,1,65.25,1994.3,0,1
0,1,1,0,40,1,0,1,0,2,0,2,2,2,1,1,1,99.2,4062.2,0,1
0,0,1,0,42,1,2,1,0,0,2,2,0,0,0,1,1,85.9,3729.75,1,0
1,1,0,0,33,1,2,1,0,2,2,0,0,0,0,1,1,83.85,2716.3,0,1
0,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,0,95.4,2025.1,1,0
1,1,1,0,57,1,2,1,0,0,2,0,2,2,0,0,2,100.6,5746.15,0,1
0,0,0,0,4,1,2,1,0,2,0,0,0,0,0,1,3,80.3,324.2,1,0
1,0,0,1,25,1,0,1,0,2,0,0,2,2,0,1,2,95.9,2448.75,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.15,45.15,1,0
0,0,0,0,3,1,0,1,0,2,0,0,2,0,0,0,2,83.75,247.25,0,1
1,0,1,1,19,1,2,1,0,0,0,2,2,2,1,1,2,100.95,1875.55,0,1
0,0,1,1,6,1,2,1,0,2,2,0,2,0,0,1,3,94.05,518.75,1,0
1,1,1,0,4,0,1,0,0,0,2,0,0,0,0,1,2,29.9,118.25,1,0
0,0,0,0,15,1,0,1,0,2,0,0,2,0,0,1,0,83.2,1130.0,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,20.25,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.2,45.2,1,0
1,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,0,1
0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,3,46.0,221.7,0,1
0,1,1,0,66,1,2,0,0,2,2,0,2,2,2,1,0,80.55,5265.1,0,1
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,0,1
0,0,1,0,14,1,0,1,2,2,0,2,2,2,1,0,3,105.95,1348.9,0,1
1,0,1,1,22,1,0,0,2,0,2,2,2,0,1,1,0,67.5,1544.05,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,25.35,25.35,1,0
0,0,0,0,16,1,2,1,0,0,0,0,0,0,0,0,2,72.65,1194.3,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,1,0
0,0,0,0,53,1,2,1,2,0,2,0,2,2,1,1,1,106.95,5785.5,0,1
0,0,0,0,36,1,0,1,0,0,2,2,0,2,0,1,2,87.55,3078.1,0,1
1,0,1,1,28,1,2,1,2,2,0,0,2,2,1,0,2,106.1,2847.4,0,1
0,0,1,1,45,1,0,0,0,2,0,2,0,0,1,1,1,54.15,2319.8,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,24.6,0,1
0,0,0,0,37,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3810.55,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,55.55,55.55,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,1,0
1,0,1,1,5,1,0,1,2,0,2,0,0,2,0,1,3,90.35,434.5,1,0
1,0,1,1,68,1,2,1,2,2,2,2,2,2,2,1,2,113.15,7856.0,0,1
0,0,1,0,6,1,0,2,1,1,1,1,1,1,0,0,0,19.5,146.3,0,1
1,1,1,0,36,1,2,1,0,0,0,0,0,2,0,1,2,84.1,3021.6,0,1
1,0,0,0,24,1,2,1,0,2,0,0,2,2,0,1,0,99.65,2404.85,1,0
1,0,1,1,6,1,0,0,0,2,2,0,0,0,0,1,3,55.3,324.25,0,1
0,0,0,1,2,1,0,2,1,1,1,1,1,1,0,1,2,19.6,35.85,0,1
0,1,0,0,15,1,0,1,0,0,0,0,2,2,0,1,2,91.5,1400.3,1,0
0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.0,35.0,1,0
1,1,0,0,45,1,2,1,0,0,0,0,2,2,0,1,0,93.9,4200.25,1,0
1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,75.35,75.35,1,0
0,0,0,0,33,1,2,1,0,2,0,0,2,2,0,1,2,100.0,3320.6,1,0
0,0,0,0,46,1,2,1,0,0,0,0,2,2,0,0,0,96.05,4399.5,0,1
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,356.65,1,0
1,0,0,0,38,1,0,1,0,0,0,0,0,0,1,1,0,70.45,2597.6,0,1
1,0,0,0,24,1,2,0,2,0,0,0,0,0,0,1,0,55.65,1400.55,0,1
1,0,0,0,13,1,0,1,0,0,0,0,0,2,0,1,2,80.85,1008.7,0,1
1,0,0,0,3,1,0,0,0,0,0,2,2,2,0,1,2,69.35,191.35,0,1
1,0,0,0,18,1,2,1,0,0,2,0,0,2,0,1,1,90.7,1597.25,0,1
1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,1,2,53.95,53.95,0,1
1,0,0,0,10,1,2,0,0,0,0,0,2,2,0,1,1,72.15,794.25,0,1
0,1,1,0,34,1,2,1,0,2,2,0,0,2,0,1,2,94.25,3217.55,0,1
0,0,0,0,15,1,0,1,2,0,0,0,2,0,0,0,2,86.2,1270.2,0,1
0,0,0,0,7,1,2,1,2,0,0,0,0,0,0,1,3,79.65,604.7,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.45,19.45,1,0
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,0,1
1,1,1,0,53,1,2,1,0,2,0,0,2,2,0,1,2,101.9,5549.4,0,1
0,0,0,0,5,1,2,1,0,0,2,2,0,0,0,1,2,82.75,417.75,1,0
0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,1,50.7,151.3,0,1
0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,1,2,49.8,1049.05,1,0
0,0,0,1,46,1,0,1,2,2,0,2,2,2,1,1,0,105.2,4822.85,0,1
1,1,1,0,13,1,0,1,0,2,0,2,0,2,0,1,0,89.05,1169.35,0,1
0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,97.35,3457.9,0,1
1,1,1,0,24,1,2,1,2,0,0,0,0,0,0,1,2,78.85,1772.25,0,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.5,20.5,1,0
1,0,0,0,20,1,2,1,0,0,0,2,2,2,0,1,3,98.55,2031.95,1,0
1,0,1,1,55,1,0,0,2,2,0,2,0,0,2,0,0,57.55,3046.4,0,1
1,0,0,0,9,0,1,0,0,0,0,0,2,0,0,1,1,34.7,296.1,0,1
1,0,0,0,4,1,2,1,2,0,0,0,2,0,0,0,2,90.65,367.95,1,0
0,0,1,1,17,1,0,1,0,0,2,2,2,2,1,0,0,98.6,1704.95,0,1
0,0,1,1,57,1,0,0,2,0,0,0,2,2,1,1,0,70.1,3913.3,0,1
1,0,0,0,38,1,0,0,0,0,2,2,0,2,1,1,3,62.3,2354.8,0,1
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,0,2,95.4,293.15,1,0
1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,50.75,50.75,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,19.65,1,0
0,0,1,1,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,0,1
1,0,0,0,9,1,0,1,0,0,0,0,0,2,0,1,2,80.8,713.1,0,1
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2550.9,0,1
0,0,1,0,19,1,2,1,0,0,0,0,2,0,0,1,2,86.85,1564.4,1,0
1,1,0,0,19,1,2,1,0,0,2,0,0,0,0,1,2,79.85,1471.75,0,1
0,1,0,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.15,574.35,1,0
0,1,0,0,20,1,2,1,2,0,0,0,0,0,0,1,2,79.15,1520.9,0,1
0,0,1,1,11,1,0,2,1,1,1,1,1,1,0,1,3,19.25,180.3,0,1
1,1,0,0,2,1,0,1,0,2,0,0,0,0,0,1,2,74.7,165.4,0,1
1,0,1,1,4,1,0,0,0,0,0,2,0,2,0,0,1,61.45,229.55,0,1
1,1,1,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.25,2433.9,0,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,0,1
0,0,0,0,48,1,0,0,2,0,2,2,0,0,1,1,1,60.35,2896.4,0,1
